"","Kecamatan","Kab.Kota","Kelas.Baik","Kelas.Rusak","Lab.Rusak.Ringan","Lab.Rusak","Perpus.Baik","Perpus.Rusak","Toilet.Guru.L.Baik","Toilet.Guru.L.Rusak","UKS.Baik","UKS.Rusak","Toilet.Guru.P.Baik","Toilet.Guru.P.Rusak","Toilet.Murid.L.Baik","Toilet.Murid.L.Rusak","Toilet.Murid.P.Baik","Toilet.Murid.P.Rusak"
"241","Kec. Mangkubumi ","Tasikmalaya",31,1,0,0,2,0,1,0,1,0,1,0,1,0,1,0
"242","Kec. Indihiang ","Tasikmalaya",75,35,3,3,3,1,10,2,10,2,10,2,10,2,10,2
"243","Kec. Cipedes ","Tasikmalaya",27,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"244","Kec. Cihideung ","Tasikmalaya",28,30,3,3,3,1,4,2,4,2,4,2,4,2,4,2
"245","Kec. Tawang ","Tasikmalaya",58,60,0,0,8,2,17,3,17,3,17,3,17,3,17,3
"246","Kec. Purbaratu ","Tasikmalaya",22,11,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"247","Kec. Bungursari ","Tasikmalaya",15,4,0,0,2,1,8,0,8,0,8,0,8,0,8,0
"248","Kec. Banjar ","Banjar",74,3,0,0,3,0,4,2,4,2,4,2,4,2,4,2
"249","Kec. Langensari ","Banjar",39,4,1,1,2,0,3,1,3,1,3,1,3,1,3,1
"250","Kec. Nanggung ","Bogor",17,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"251","Kec. Leuwiliang ","Bogor",47,39,4,4,6,3,6,4,6,4,6,4,6,4,6,4
"252","Kec. Pamijahan ","Bogor",52,32,1,1,7,1,3,1,3,1,3,1,3,1,3,1
"253","Kec. Cibungbulang ","Bogor",62,7,2,2,5,0,2,2,2,2,2,2,2,2,2,2
"254","Kec. Ciampea ","Bogor",32,8,2,2,2,2,3,3,3,3,3,3,3,3,3,3
"255","Kec. Dramaga ","Bogor",55,3,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"256","Kec. Ciomas ","Bogor",21,16,1,1,2,0,1,1,1,1,1,1,1,1,1,1
"257","Kec. Cijeruk ","Bogor",20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"258","Kec. Caringin ","Bogor",48,0,0,0,4,0,2,0,2,0,2,0,2,0,2,0
"259","Kec. Ciawi ","Bogor",67,5,0,0,5,0,5,2,5,2,5,2,5,2,5,2
"260","Kec. Cisarua ","Bogor",44,0,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"261","Kec. Megamendung ","Bogor",31,7,0,0,2,0,2,2,2,2,2,2,2,2,2,2
"262","Kec. Sukaraja ","Bogor",12,26,1,1,2,1,4,0,4,0,4,0,4,0,4,0
"263","Kec. Babakan Madang ","Bogor",23,47,11,11,4,5,8,6,8,6,8,6,8,6,8,6
"264","Kec. Sukamakmur ","Bogor",23,13,1,1,2,1,3,3,3,3,3,3,3,3,3,3
"265","Kec. Cariu ","Bogor",25,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"266","Kec. Jonggol ","Bogor",143,10,0,0,10,0,10,0,10,0,10,0,10,0,10,0
"267","Kec. Cileungsi ","Bogor",91,31,7,7,6,3,8,4,8,4,8,4,8,4,8,4
"268","Kec. Gunungputri ","Bogor",212,1,1,1,20,0,34,2,34,2,34,2,34,2,34,2
"269","Kec. Citeureup ","Bogor",70,7,0,0,9,0,1,1,1,1,1,1,1,1,1,1
"270","Kec. Cibinong ","Bogor",266,11,6,6,18,3,25,3,25,3,25,3,25,3,25,3
"271","Kec. Bojong Gede ","Bogor",16,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"272","Kec. Kemang ","Bogor",75,14,4,4,5,1,9,3,9,3,9,3,9,3,9,3
"273","Kec. Parung ","Bogor",87,12,2,2,4,1,6,2,6,2,6,2,6,2,6,2
"274","Kec. Gunung Sindur ","Bogor",97,8,0,0,8,1,12,0,12,0,12,0,12,0,12,0
"275","Kec. Rumpin ","Bogor",37,16,1,1,3,1,3,3,3,3,3,3,3,3,3,3
"276","Kec. Cigudeg ","Bogor",44,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"277","Kec. Jasinga ","Bogor",40,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"278","Kec. Tenjo ","Bogor",23,12,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"279","Kec. Parungpanjang ","Bogor",51,4,0,0,4,0,3,1,3,1,3,1,3,1,3,1
"280","Kec. Tamansari ","Bogor",51,2,0,0,5,0,4,2,4,2,4,2,4,2,4,2
"281","Kec. Ciseeng ","Bogor",46,6,0,0,3,1,6,2,6,2,6,2,6,2,6,2
"282","Kec. Klapanunggal ","Bogor",22,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"283","Kec. Sukajaya ","Bogor",15,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"284","Kec. Ranca Bungur ","Bogor",24,6,0,0,1,1,6,0,6,0,6,0,6,0,6,0
"285","Kec. Tanjung Sari ","Bogor",9,4,3,3,2,2,0,0,0,0,0,0,0,0,0,0
"286","Kec. Tajurhalang ","Bogor",45,2,2,2,3,0,3,3,3,3,3,3,3,3,3,3
"287","Kec. Cigombong ","Bogor",108,0,0,0,9,0,8,0,8,0,8,0,8,0,8,0
"288","Kec. Leuwisadeng ","Bogor",13,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"289","Kec. Tenjolaya ","Bogor",16,17,7,7,2,2,2,2,2,2,2,2,2,2,2,2
"290","Kec. Ciwidey ","Bandung",65,4,0,0,3,0,3,1,3,1,3,1,3,1,3,1
"291","Kec. Pasirjambu ","Bandung",0,6,0,0,0,1,0,2,0,2,0,2,0,2,0,2
"292","Kec. Cimaung ","Bandung",24,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"293","Kec. Pangalengan ","Bandung",53,0,0,0,1,1,2,0,2,0,2,0,2,0,2,0
"294","Kec. Kertasari ","Bandung",28,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"295","Kec. Pacet ","Bandung",22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"296","Kec. Ibun ","Bandung",23,10,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"297","Kec. Paseh ","Bandung",34,3,0,0,4,2,3,3,3,3,3,3,3,3,3,3
"298","Kec. Cikancung ","Bandung",34,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"299","Kec. Cicalengka ","Bandung",84,29,4,4,4,1,5,1,5,1,5,1,5,1,5,1
"300","Kec. Rancaekek ","Bandung",40,41,3,3,4,2,5,1,5,1,5,1,5,1,5,1
"301","Kec. Majalaya ","Bandung",95,1,0,0,8,0,3,1,3,1,3,1,3,1,3,1
"302","Kec. Ciparay ","Bandung",186,0,0,0,12,0,14,0,14,0,14,0,14,0,14,0
"303","Kec. Baleendah ","Bandung",113,3,0,0,8,0,6,6,6,6,6,6,6,6,6,6
"304","Kec. Arjasari ","Bandung",68,0,0,0,7,0,8,0,8,0,8,0,8,0,8,0
"305","Kec. Banjaran ","Bandung",94,4,3,3,5,0,11,3,11,3,11,3,11,3,11,3
"306","Kec. Pameungpeuk ","Bandung",24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"307","Kec. Katapang ","Bandung",37,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"308","Kec. Soreang ","Bandung",92,0,0,0,5,0,10,0,10,0,10,0,10,0,10,0
"309","Kec. Margaasih ","Bandung",59,0,0,0,3,0,5,1,5,1,5,1,5,1,5,1
"310","Kec. Margahayu ","Bandung",90,23,1,1,8,1,9,4,9,4,9,4,9,4,9,4
"311","Kec. Dayeuhkolot ","Bandung",68,4,2,2,3,0,6,0,6,0,6,0,6,0,6,0
"312","Kec. Bojongsoang ","Bandung",29,8,1,1,1,1,2,0,2,0,2,0,2,0,2,0
"313","Kec. Cileunyi ","Bandung",49,17,2,2,2,1,4,2,4,2,4,2,4,2,4,2
"314","Kec. Cilengkrang ","Bandung",12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"315","Kec. Cimenyan ","Bandung",9,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"316","Kec. Rancabali ","Bandung",17,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"317","Kec. Nagreg ","Bandung",31,3,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"318","Kec. Solokanjeruk ","Bandung",42,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"319","Kec. Cangkuang ","Bandung",9,0,0,0,2,0,5,1,5,1,5,1,5,1,5,1
"320","Kec. Kutawaringin ","Bandung",0,9,0,0,0,1,0,2,0,2,0,2,0,2,0,2
"321","Kec. Darma ","Kuningan",18,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"322","Kec. Kadugede ","Kuningan",35,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"323","Kec. Ciniru ","Kuningan",26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"324","Kec. Subang ","Kuningan",20,2,0,0,1,0,0,1,0,1,0,1,0,1,0,1
"325","Kec. Ciwaru ","Kuningan",22,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"326","Kec. Cibingbin ","Kuningan",30,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"327","Kec. Luragung ","Kuningan",27,0,3,3,0,1,2,0,2,0,2,0,2,0,2,0
"328","Kec. Cidahu ","Kuningan",20,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"329","Kec. Ciawigebang ","Kuningan",34,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"330","Kec. Lebakwangi ","Kuningan",41,6,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"331","Kec. Garawangi ","Kuningan",30,0,0,0,1,0,3,1,3,1,3,1,3,1,3,1
"332","Kec. Kuningan ","Kuningan",97,2,3,3,4,0,6,0,6,0,6,0,6,0,6,0
"333","Kec. Cigugur ","Kuningan",37,1,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"334","Kec. Jalaksana ","Kuningan",52,15,0,0,3,0,6,0,6,0,6,0,6,0,6,0
"335","Kec. Cilimus ","Kuningan",47,0,0,0,3,0,4,0,4,0,4,0,4,0,4,0
"336","Kec. Mandirancan ","Kuningan",30,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"337","Kec. Pasawahan ","Kuningan",15,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"338","Kec. Pancalang ","Kuningan",4,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"339","Kec. Cigandamekar ","Kuningan",11,0,0,0,2,0,5,1,5,1,5,1,5,1,5,1
"340","Kec. Rongga ","Bandung Barat",21,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"341","Kec. Gununghalu ","Bandung Barat",25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"342","Kec. Sindangkerta ","Bandung Barat",76,0,0,0,3,0,7,3,7,3,7,3,7,3,7,3
"343","Kec. Cililin ","Bandung Barat",106,0,0,0,8,0,9,3,9,3,9,3,9,3,9,3
"344","Kec. Cihampelas ","Bandung Barat",36,0,0,0,1,0,6,0,6,0,6,0,6,0,6,0
"345","Kec. Cipongkor ","Bandung Barat",24,4,1,1,3,1,0,0,0,0,0,0,0,0,0,0
"346","Kec. Batujajar ","Bandung Barat",51,0,0,0,2,1,4,0,4,0,4,0,4,0,4,0
"347","Kec. Cipatat ","Bandung Barat",24,22,3,3,1,1,0,2,0,2,0,2,0,2,0,2
"348","Kec. Padalarang ","Bandung Barat",131,0,0,0,7,0,10,0,10,0,10,0,10,0,10,0
"349","Kec. Ngamprah ","Bandung Barat",71,7,1,1,5,1,6,2,6,2,6,2,6,2,6,2
"350","Kec. Parongpong ","Bandung Barat",52,0,1,1,3,0,14,2,14,2,14,2,14,2,14,2
"351","Kec. Lembang ","Bandung Barat",89,54,4,4,9,3,9,5,9,5,9,5,9,5,9,5
"352","Kec. Cisarua ","Bandung Barat",44,13,1,1,3,0,3,1,3,1,3,1,3,1,3,1
"353","Kec. Cikalongwetan ","Bandung Barat",55,0,0,0,3,0,3,1,3,1,3,1,3,1,3,1
"354","Kec. Cipeundeuy ","Bandung Barat",44,5,1,1,4,0,7,1,7,1,7,1,7,1,7,1
"355","Kec. Saguling ","Bandung Barat",11,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"356","KEC. CIMERAK ","Pangandaran",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"357","KEC. CIGUGUR ","Pangandaran",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"358","KEC. LANGKAPLANCAR ","Pangandaran",10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"359","KEC. MANGUNJAYA ","Pangandaran",33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"360","KEC. PADAHERANG ","Pangandaran",1,3,0,0,1,0,0,4,0,4,0,4,0,4,0,4
"361","KEC. PANGANDARAN ","Pangandaran",35,12,4,4,1,1,2,2,2,2,2,2,2,2,2,2
"362","KEC. PARIGI ","Pangandaran",37,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"363","Kec. Bandung Kulon ","Bandung",27,0,3,3,3,0,2,4,2,4,2,4,2,4,2,4
"364","Kec. Babakan Ciparay ","Bandung",30,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"365","Kec. Bojong Loa Kaler ","Bandung",75,0,0,0,7,0,10,0,10,0,10,0,10,0,10,0
"366","Kec. Bojong Loa Kidul ","Bandung",34,6,0,0,3,2,6,2,6,2,6,2,6,2,6,2
"367","Kec. Astanaanyar ","Bandung",21,0,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"368","Kec. Regol ","Bandung",121,0,0,0,6,0,9,1,9,1,9,1,9,1,9,1
"369","Kec. Lengkong ","Bandung",103,88,3,3,11,2,14,8,14,8,14,8,14,8,14,8
"370","Kec. Bandung Kidul ","Bandung",15,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"371","Kec. Buahbatu ","Bandung",37,26,1,1,5,0,4,2,4,2,4,2,4,2,4,2
"372","Kec. Rancasari ","Bandung",36,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"373","Kec. Cibiru ","Bandung",56,42,4,4,4,2,4,4,4,4,4,4,4,4,4,4
"374","Kec. Ujungberung ","Bandung",68,5,2,2,5,0,4,2,4,2,4,2,4,2,4,2
"375","Kec. Arcamanik ","Bandung",25,0,0,0,3,0,6,0,6,0,6,0,6,0,6,0
"376","Kec. Kiaracondong ","Bandung",65,23,3,3,3,1,11,3,11,3,11,3,11,3,11,3
"377","Kec. Sumur Bandung ","Bandung",128,0,0,0,8,0,9,1,9,1,9,1,9,1,9,1
"378","Kec. Andir ","Bandung",163,33,5,5,12,3,21,7,21,7,21,7,21,7,21,7
"379","Kec. Cicendo ","Bandung",140,61,6,6,8,2,12,8,12,8,12,8,12,8,12,8
"380","Kec. Bandung Wetan ","Bandung",119,0,0,0,6,0,14,0,14,0,14,0,14,0,14,0
"381","Kec. Cibeunying Kidul ","Bandung",133,0,0,0,4,0,6,2,6,2,6,2,6,2,6,2
"382","Kec. Cibeunying Kaler ","Bandung",85,0,0,0,4,0,7,1,7,1,7,1,7,1,7,1
"383","Kec. Coblong ","Bandung",210,33,3,3,13,1,20,4,20,4,20,4,20,4,20,4
"384","Kec. Sukajadi ","Bandung",15,16,1,1,2,1,3,1,3,1,3,1,3,1,3,1
"385","Kec. Sukasari ","Bandung",37,41,5,5,3,3,8,0,8,0,8,0,8,0,8,0
"386","Kec. Cidadap ","Bandung",19,6,1,1,3,1,6,2,6,2,6,2,6,2,6,2
"387","Kec. Gedebage ","Bandung",1,38,2,2,0,1,1,1,1,1,1,1,1,1,1,1
"388","Kec. Panyileukan ","Bandung",6,3,1,1,1,1,1,3,1,3,1,3,1,3,1,3
"389","Kec. Mandalajati ","Bandung",17,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2
"390","Kec. Antapani ","Bandung",34,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"391","Kec. Ciemas ","Sukabumi",2,21,2,2,0,1,0,0,0,0,0,0,0,0,0,0
"392","Kec. Ciracap ","Sukabumi",14,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"393","Kec. Surade ","Sukabumi",33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"394","Kec. Jampang Kulon ","Sukabumi",44,23,3,3,2,1,1,3,1,3,1,3,1,3,1,3
"395","Kec. Kalibunder ","Sukabumi",17,14,2,2,1,1,0,0,0,0,0,0,0,0,0,0
"396","Kec. Tegalbuleud ","Sukabumi",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"397","Kec. Cidolog ","Sukabumi",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"398","Kec. Sagaranten ","Sukabumi",18,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"399","Kec. Lengkong ","Sukabumi",1,17,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"400","Kec. Pelabuhan Ratu ","Sukabumi",50,17,4,4,4,1,2,6,2,6,2,6,2,6,2,6
"401","Kec. Warung Kiara ","Sukabumi",65,26,3,3,0,1,0,0,0,0,0,0,0,0,0,0
"402","Kec. Jampang Tengah ","Sukabumi",27,4,2,2,0,1,3,0,3,0,3,0,3,0,3,0
"403","Kec. Cikembar ","Sukabumi",24,6,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"404","Kec. Nyalindung ","Sukabumi",0,16,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"405","Kec. Sukaraja ","Sukabumi",0,35,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"406","Kec. Sukabumi ","Sukabumi",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"407","Kec. Kadudampit ","Sukabumi",16,10,1,1,1,1,2,0,2,0,2,0,2,0,2,0
"408","Kec. Cisaat ","Sukabumi",47,1,2,2,5,0,4,2,4,2,4,2,4,2,4,2
"409","Kec. Cibadak ","Sukabumi",105,0,0,0,7,1,8,0,8,0,8,0,8,0,8,0
"410","Kec. Nagrak ","Sukabumi",43,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"411","Kec. Cicurug ","Sukabumi",130,3,0,0,8,0,8,0,8,0,8,0,8,0,8,0
"412","Kec. Cidahu ","Sukabumi",32,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"413","Kec. Parakansalak ","Sukabumi",42,3,1,1,2,1,3,1,3,1,3,1,3,1,3,1
"414","Kec. Parungkuda ","Sukabumi",66,0,0,0,4,0,5,1,5,1,5,1,5,1,5,1
"415","Kec. Kalapa Nunggal ","Sukabumi",3,12,1,1,1,1,0,2,0,2,0,2,0,2,0,2
"416","Kec. Cikidang ","Sukabumi",45,3,1,1,1,1,3,1,3,1,3,1,3,1,3,1
"417","Kec. Cisolok ","Sukabumi",25,2,2,2,1,0,3,1,3,1,3,1,3,1,3,1
"418","Kec. ","Sukabumi",22,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"419","Kec. Gunung Guruh ","Sukabumi",42,1,2,2,3,0,4,0,4,0,4,0,4,0,4,0
"420","Kec. Cikakak ","Sukabumi",18,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"421","Kec. Bantar Gadung ","Sukabumi",31,0,0,0,1,0,4,0,4,0,4,0,4,0,4,0
"422","Kec. Cicantayan ","Sukabumi",5,0,0,0,1,0,6,0,6,0,6,0,6,0,6,0
"423","Kec. Simpenan ","Sukabumi",58,0,0,0,2,0,5,1,5,1,5,1,5,1,5,1
"424","Kec. Curugkembar ","Sukabumi",1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"425","Kec. Purabaya ","Sukabumi",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"426","Kec. Cireunghas ","Sukabumi",17,10,3,3,1,1,0,0,0,0,0,0,0,0,0,0
"427","Kec. Sukalarang ","Sukabumi",8,1,3,3,0,1,1,1,1,1,1,1,1,1,1,1
"428","Kec. Caringin ","Sukabumi",16,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"429","Kec. Bojong Genteng ","Sukabumi",40,5,0,0,4,0,7,3,7,3,7,3,7,3,7,3
"430","Kec. Ciambar ","Sukabumi",19,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"431","Kec. Cipatujah ","Tasikmalaya",25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"432","Kec. Karangnunggal ","Tasikmalaya",42,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0
"433","Kec. Cikalong ","Tasikmalaya",30,2,0,0,2,1,1,1,1,1,1,1,1,1,1,1
"434","Kec. Pancatengah ","Tasikmalaya",22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"435","Kec. Cikatomas ","Tasikmalaya",20,20,0,0,2,0,0,2,0,2,0,2,0,2,0,2
"436","Kec. Cibalong ","Tasikmalaya",2,5,3,3,1,1,0,2,0,2,0,2,0,2,0,2
"437","Kec. Bantarkalong ","Tasikmalaya",28,1,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"438","Kec. Bojonggambir ","Tasikmalaya",11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"439","Kec. Sodonghilir ","Tasikmalaya",27,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1
"440","Kec. Taraju ","Tasikmalaya",32,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"441","Kec. Salawu ","Tasikmalaya",13,12,2,2,2,2,7,3,7,3,7,3,7,3,7,3
"442","Kec. Tanjungjaya ","Tasikmalaya",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"443","Kec. Sukaraja ","Tasikmalaya",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"444","Kec. Salopa ","Tasikmalaya",15,0,0,0,4,0,3,1,3,1,3,1,3,1,3,1
"445","Kec. Cineam ","Tasikmalaya",31,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"446","Kec. Manonjaya ","Tasikmalaya",51,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"447","Kec. Singaparna ","Tasikmalaya",147,3,0,0,6,1,12,4,12,4,12,4,12,4,12,4
"448","Kec. Cigalontang ","Tasikmalaya",26,14,1,1,5,2,1,1,1,1,1,1,1,1,1,1
"449","Kec. Leuwisari ","Tasikmalaya",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"450","Kec. Cisayong ","Tasikmalaya",21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"451","Kec. Rajapolah ","Tasikmalaya",35,0,0,0,3,0,2,2,2,2,2,2,2,2,2,2
"452","Kec. Jamanis ","Tasikmalaya",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"453","Kec. Ciawi ","Tasikmalaya",0,43,2,2,0,1,0,2,0,2,0,2,0,2,0,2
"454","Kec. Pagerageung ","Tasikmalaya",15,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"455","Kec. Sariwangi ","Tasikmalaya",22,3,0,0,3,1,1,1,1,1,1,1,1,1,1,1
"456","Kec. Sukaratu ","Tasikmalaya",24,0,0,0,4,0,1,1,1,1,1,1,1,1,1,1
"457","Kec. Sukarame ","Tasikmalaya",29,1,0,0,3,0,2,0,2,0,2,0,2,0,2,0
"458","Kec. Bojongasih ","Tasikmalaya",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"459","Kec. Puspahiang ","Tasikmalaya",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"460","Kec. Jatiwaras ","Tasikmalaya",24,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"461","Kec. Mangunreja ","Tasikmalaya",3,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"462","Kec. Gunungtanjung ","Tasikmalaya",0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"463","Kec. Padakembang ","Tasikmalaya",9,6,0,0,2,1,2,0,2,0,2,0,2,0,2,0
"464","Kec. Sukahening ","Tasikmalaya",10,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"465","Kec. Jatiluhur ","Purwakarta",37,0,0,0,3,0,3,1,3,1,3,1,3,1,3,1
"466","Kec. Maniis ","Purwakarta",0,16,1,1,0,2,2,0,2,0,2,0,2,0,2,0
"467","Kec. Tegalwaru ","Purwakarta",26,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"468","Kec. Plered ","Purwakarta",41,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"469","Kec. Sukatani ","Purwakarta",4,23,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"470","Kec. Darangdan ","Purwakarta",21,10,2,2,0,1,0,2,0,2,0,2,0,2,0,2
"471","Kec. Wanayasa ","Purwakarta",29,2,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"472","Kec. Pasawahan ","Purwakarta",17,19,3,3,0,1,3,0,3,0,3,0,3,0,3,0
"473","Kec. Purwakarta ","Purwakarta",139,27,1,1,8,1,9,5,9,5,9,5,9,5,9,5
"474","Kec. Campaka ","Purwakarta",38,25,3,3,1,1,1,1,1,1,1,1,1,1,1,1
"475","Kec. Sukasari ","Purwakarta",20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"476","Kec. Babakancikao ","Purwakarta",10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"477","Kec. Cibatu ","Purwakarta",19,3,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"478","Kec. Bungursari ","Purwakarta",32,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"479","Kec. Pangkalan ","Karawang",41,0,1,1,1,0,2,0,2,0,2,0,2,0,2,0
"480","Kec. Ciampel ","Karawang",58,0,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"481","Kec. Klari ","Karawang",6,43,4,4,1,1,0,2,0,2,0,2,0,2,0,2
"482","Kec. Cikampek ","Karawang",60,29,6,6,2,3,3,1,3,1,3,1,3,1,3,1
"483","Kec. Tirtamulya ","Karawang",4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"484","Kec. Jatisari ","Karawang",34,7,1,1,1,1,1,3,1,3,1,3,1,3,1,3
"485","Kec. Lemahabang ","Karawang",38,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"486","Kec. Telagasari ","Karawang",32,12,4,4,1,1,2,0,2,0,2,0,2,0,2,0
"487","Kec. Rawamerta ","Karawang",21,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"488","Kec. Tempuran ","Karawang",26,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"489","Kec. Kutawaluya ","Karawang",42,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"490","Kec. Pedes ","Karawang",28,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"491","Kec. Cibuaya ","Karawang",10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"492","Kec. Tirtajaya ","Karawang",12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"493","Kec. Batujaya ","Karawang",55,0,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"494","Kec. Pakisjaya ","Karawang",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"495","Kec. Majalaya ","Karawang",2,11,2,2,0,1,0,2,0,2,0,2,0,2,0,2
"496","Kec. Jayakerta ","Karawang",7,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"497","Kec. Banyusari ","Karawang",12,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"498","Kec. ","Karawang",54,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"499","Kec. Cilamaya Wetan ","Karawang",24,10,0,0,1,0,2,0,2,0,2,0,2,0,2,0
