"","Kecamatan","Kab.Kota","Provinsi","Kelas.Baik","Kelas.Rusak","Lab.Baik","Lab.Rusak","Perpus.Baik","Perpus.Rusak","UKS.Baik","UKS.Rusak","Toilet.Baik","Toilet.Rusak"
"274","Kec. Gunung Sindur ","Bogor","Jawa Barat",97,8,15,0,8,1,12,0,48,0
"275","Kec. Rumpin ","Bogor","Jawa Barat",37,16,6,1,3,1,3,3,12,12
"276","Kec. Cigudeg ","Bogor","Jawa Barat",44,0,2,0,2,0,2,0,8,0
"277","Kec. Jasinga ","Bogor","Jawa Barat",40,0,3,0,2,0,2,0,8,0
"278","Kec. Tenjo ","Bogor","Jawa Barat",23,12,0,2,2,1,2,2,8,8
"279","Kec. Parungpanjang ","Bogor","Jawa Barat",51,4,2,0,4,0,3,1,12,4
"280","Kec. Tamansari ","Bogor","Jawa Barat",51,2,12,0,5,0,4,2,16,8
"281","Kec. Ciseeng ","Bogor","Jawa Barat",46,6,8,0,3,1,6,2,24,8
"282","Kec. Klapanunggal ","Bogor","Jawa Barat",22,0,1,0,1,0,1,1,4,4
"283","Kec. Sukajaya ","Bogor","Jawa Barat",15,0,3,0,1,0,2,0,8,0
"284","Kec. Ranca Bungur ","Bogor","Jawa Barat",24,6,4,0,1,1,6,0,24,0
"285","Kec. Tanjung Sari ","Bogor","Jawa Barat",9,4,0,3,2,2,0,0,0,0
"286","Kec. Tajurhalang ","Bogor","Jawa Barat",45,2,5,2,3,0,3,3,12,12
"287","Kec. Cigombong ","Bogor","Jawa Barat",108,0,18,0,9,0,8,0,32,0
"288","Kec. Leuwisadeng ","Bogor","Jawa Barat",13,0,4,0,2,0,2,0,8,0
"289","Kec. Tenjolaya ","Bogor","Jawa Barat",16,17,3,7,2,2,2,2,8,8
"290","Kec. Ciwidey ","Bandung","Jawa Barat",65,4,2,0,3,0,3,1,12,4
"291","Kec. Pasirjambu ","Bandung","Jawa Barat",0,6,0,0,0,1,0,2,0,8
"292","Kec. Cimaung ","Bandung","Jawa Barat",24,0,1,0,1,0,2,0,8,0
"293","Kec. Pangalengan ","Bandung","Jawa Barat",53,0,4,0,1,1,2,0,8,0
"294","Kec. Kertasari ","Bandung","Jawa Barat",28,0,3,0,2,0,1,1,4,4
"295","Kec. Pacet ","Bandung","Jawa Barat",22,0,2,0,2,0,0,0,0,0
"296","Kec. Ibun ","Bandung","Jawa Barat",23,10,1,2,2,1,1,1,4,4
"297","Kec. Paseh ","Bandung","Jawa Barat",34,3,0,0,4,2,3,3,12,12
"298","Kec. Cikancung ","Bandung","Jawa Barat",34,3,3,0,2,0,0,0,0,0
"299","Kec. Cicalengka ","Bandung","Jawa Barat",84,29,6,4,4,1,5,1,20,4
"300","Kec. Rancaekek ","Bandung","Jawa Barat",40,41,2,3,4,2,5,1,20,4
"301","Kec. Majalaya ","Bandung","Jawa Barat",95,1,6,0,8,0,3,1,12,4
"302","Kec. Ciparay ","Bandung","Jawa Barat",186,0,6,0,12,0,14,0,56,0
"303","Kec. Baleendah ","Bandung","Jawa Barat",113,3,13,0,8,0,6,6,24,24
"304","Kec. Arjasari ","Bandung","Jawa Barat",68,0,12,0,7,0,8,0,32,0
"305","Kec. Banjaran ","Bandung","Jawa Barat",94,4,2,3,5,0,11,3,44,12
"306","Kec. Pameungpeuk ","Bandung","Jawa Barat",24,0,1,0,4,0,0,0,0,0
"307","Kec. Katapang ","Bandung","Jawa Barat",37,0,1,0,1,0,1,1,4,4
"308","Kec. Soreang ","Bandung","Jawa Barat",92,0,7,0,5,0,10,0,40,0
"309","Kec. Margaasih ","Bandung","Jawa Barat",59,0,6,0,3,0,5,1,20,4
"310","Kec. Margahayu ","Bandung","Jawa Barat",90,23,18,1,8,1,9,4,36,16
"311","Kec. Dayeuhkolot ","Bandung","Jawa Barat",68,4,7,2,3,0,6,0,24,0
"312","Kec. Bojongsoang ","Bandung","Jawa Barat",29,8,3,1,1,1,2,0,8,0
"313","Kec. Cileunyi ","Bandung","Jawa Barat",49,17,3,2,2,1,4,2,16,8
"314","Kec. Cilengkrang ","Bandung","Jawa Barat",12,0,1,0,2,0,0,0,0,0
"315","Kec. Cimenyan ","Bandung","Jawa Barat",9,0,1,0,2,0,2,0,8,0
"316","Kec. Rancabali ","Bandung","Jawa Barat",17,0,0,0,2,0,2,0,8,0
"317","Kec. Nagreg ","Bandung","Jawa Barat",31,3,3,0,1,0,2,0,8,0
"318","Kec. Solokanjeruk ","Bandung","Jawa Barat",42,0,3,0,2,0,1,1,4,4
"319","Kec. Cangkuang ","Bandung","Jawa Barat",9,0,0,0,2,0,5,1,20,4
"320","Kec. Kutawaringin ","Bandung","Jawa Barat",0,9,0,0,0,1,0,2,0,8
"321","Kec. Darma ","Kuningan","Jawa Barat",18,0,0,0,1,0,1,1,4,4
"322","Kec. Kadugede ","Kuningan","Jawa Barat",35,0,2,0,1,0,2,0,8,0
"323","Kec. Ciniru ","Kuningan","Jawa Barat",26,0,5,0,1,0,0,0,0,0
"324","Kec. Subang ","Kuningan","Jawa Barat",20,2,4,0,1,0,0,1,0,4
"325","Kec. Ciwaru ","Kuningan","Jawa Barat",22,0,3,0,0,1,1,1,4,4
"326","Kec. Cibingbin ","Kuningan","Jawa Barat",30,0,3,0,1,0,1,1,4,4
"327","Kec. Luragung ","Kuningan","Jawa Barat",27,0,1,3,0,1,2,0,8,0
"328","Kec. Cidahu ","Kuningan","Jawa Barat",20,0,3,0,1,0,2,0,8,0
"329","Kec. Ciawigebang ","Kuningan","Jawa Barat",34,0,3,0,2,0,0,0,0,0
"330","Kec. Lebakwangi ","Kuningan","Jawa Barat",41,6,3,0,1,0,2,0,8,0
"331","Kec. Garawangi ","Kuningan","Jawa Barat",30,0,1,0,1,0,3,1,12,4
"332","Kec. Kuningan ","Kuningan","Jawa Barat",97,2,6,3,4,0,6,0,24,0
"333","Kec. Cigugur ","Kuningan","Jawa Barat",37,1,5,0,2,0,4,0,16,0
"334","Kec. Jalaksana ","Kuningan","Jawa Barat",52,15,10,0,3,0,6,0,24,0
"335","Kec. Cilimus ","Kuningan","Jawa Barat",47,0,6,0,3,0,4,0,16,0
"336","Kec. Mandirancan ","Kuningan","Jawa Barat",30,0,3,0,1,0,2,0,8,0
"337","Kec. Pasawahan ","Kuningan","Jawa Barat",15,0,2,0,1,0,2,0,8,0
"338","Kec. Pancalang ","Kuningan","Jawa Barat",4,0,4,0,1,0,2,0,8,0
"339","Kec. Cigandamekar ","Kuningan","Jawa Barat",11,0,1,0,2,0,5,1,20,4
"340","Kec. Rongga ","Bandung Barat","Jawa Barat",21,4,2,0,0,1,0,0,0,0
"341","Kec. Gununghalu ","Bandung Barat","Jawa Barat",25,0,3,0,1,0,0,0,0,0
"342","Kec. Sindangkerta ","Bandung Barat","Jawa Barat",76,0,7,0,3,0,7,3,28,12
"343","Kec. Cililin ","Bandung Barat","Jawa Barat",106,0,11,0,8,0,9,3,36,12
"344","Kec. Cihampelas ","Bandung Barat","Jawa Barat",36,0,1,0,1,0,6,0,24,0
"345","Kec. Cipongkor ","Bandung Barat","Jawa Barat",24,4,4,1,3,1,0,0,0,0
"346","Kec. Batujajar ","Bandung Barat","Jawa Barat",51,0,3,0,2,1,4,0,16,0
"347","Kec. Cipatat ","Bandung Barat","Jawa Barat",24,22,2,3,1,1,0,2,0,8
"348","Kec. Padalarang ","Bandung Barat","Jawa Barat",131,0,7,0,7,0,10,0,40,0
"349","Kec. Ngamprah ","Bandung Barat","Jawa Barat",71,7,13,1,5,1,6,2,24,8
"350","Kec. Parongpong ","Bandung Barat","Jawa Barat",52,0,9,1,3,0,14,2,56,8
"351","Kec. Lembang ","Bandung Barat","Jawa Barat",89,54,16,4,9,3,9,5,36,20
"352","Kec. Cisarua ","Bandung Barat","Jawa Barat",44,13,6,1,3,0,3,1,12,4
"353","Kec. Cikalongwetan ","Bandung Barat","Jawa Barat",55,0,6,0,3,0,3,1,12,4
"354","Kec. Cipeundeuy ","Bandung Barat","Jawa Barat",44,5,5,1,4,0,7,1,28,4
"355","Kec. Saguling ","Bandung Barat","Jawa Barat",11,0,3,0,2,0,2,0,8,0
"356","KEC. CIMERAK ","Pangandaran","Jawa Barat",4,0,1,0,1,0,0,0,0,0
"357","KEC. CIGUGUR ","Pangandaran","Jawa Barat",1,0,0,0,0,0,0,0,0,0
"358","KEC. LANGKAPLANCAR ","Pangandaran","Jawa Barat",10,0,1,0,1,0,0,0,0,0
"359","KEC. MANGUNJAYA ","Pangandaran","Jawa Barat",33,0,3,0,1,0,0,0,0,0
"360","KEC. PADAHERANG ","Pangandaran","Jawa Barat",1,3,3,0,1,0,0,4,0,16
"361","KEC. PANGANDARAN ","Pangandaran","Jawa Barat",35,12,3,4,1,1,2,2,8,8
"362","KEC. PARIGI ","Pangandaran","Jawa Barat",37,0,4,0,1,0,2,0,8,0
"363","Kec. Bandung Kulon ","Bandung","Jawa Barat",27,0,4,3,3,0,2,4,8,16
"364","Kec. Babakan Ciparay ","Bandung","Jawa Barat",30,0,3,0,1,0,1,1,4,4
"365","Kec. Bojong Loa Kaler ","Bandung","Jawa Barat",75,0,10,0,7,0,10,0,40,0
"366","Kec. Bojong Loa Kidul ","Bandung","Jawa Barat",34,6,10,0,3,2,6,2,24,8
"367","Kec. Astanaanyar ","Bandung","Jawa Barat",21,0,4,0,2,0,4,0,16,0
"368","Kec. Regol ","Bandung","Jawa Barat",121,0,11,0,6,0,9,1,36,4
"369","Kec. Lengkong ","Bandung","Jawa Barat",103,88,20,3,11,2,14,8,56,32
"370","Kec. Bandung Kidul ","Bandung","Jawa Barat",15,0,3,0,1,0,2,0,8,0
"371","Kec. Buahbatu ","Bandung","Jawa Barat",37,26,6,1,5,0,4,2,16,8
"372","Kec. Rancasari ","Bandung","Jawa Barat",36,0,3,0,1,0,2,0,8,0
"373","Kec. Cibiru ","Bandung","Jawa Barat",56,42,6,4,4,2,4,4,16,16
"374","Kec. Ujungberung ","Bandung","Jawa Barat",68,5,10,2,5,0,4,2,16,8
"375","Kec. Arcamanik ","Bandung","Jawa Barat",25,0,3,0,3,0,6,0,24,0
"376","Kec. Kiaracondong ","Bandung","Jawa Barat",65,23,13,3,3,1,11,3,44,12
"377","Kec. Sumur Bandung ","Bandung","Jawa Barat",128,0,16,0,8,0,9,1,36,4
"378","Kec. Andir ","Bandung","Jawa Barat",163,33,25,5,12,3,21,7,84,28
"379","Kec. Cicendo ","Bandung","Jawa Barat",140,61,18,6,8,2,12,8,48,32
"380","Kec. Bandung Wetan ","Bandung","Jawa Barat",119,0,17,0,6,0,14,0,56,0
"381","Kec. Cibeunying Kidul ","Bandung","Jawa Barat",133,0,10,0,4,0,6,2,24,8
"382","Kec. Cibeunying Kaler ","Bandung","Jawa Barat",85,0,12,0,4,0,7,1,28,4
"383","Kec. Coblong ","Bandung","Jawa Barat",210,33,28,3,13,1,20,4,80,16
"384","Kec. Sukajadi ","Bandung","Jawa Barat",15,16,6,1,2,1,3,1,12,4
"385","Kec. Sukasari ","Bandung","Jawa Barat",37,41,3,5,3,3,8,0,32,0
"386","Kec. Cidadap ","Bandung","Jawa Barat",19,6,6,1,3,1,6,2,24,8
"387","Kec. Gedebage ","Bandung","Jawa Barat",1,38,0,2,0,1,1,1,4,4
"388","Kec. Panyileukan ","Bandung","Jawa Barat",6,3,3,1,1,1,1,3,4,12
"389","Kec. Mandalajati ","Bandung","Jawa Barat",17,0,1,0,2,0,2,2,8,8
"390","Kec. Antapani ","Bandung","Jawa Barat",34,0,3,0,2,0,1,1,4,4
"391","Kec. Ciemas ","Sukabumi","Jawa Barat",2,21,0,2,0,1,0,0,0,0
"392","Kec. Ciracap ","Sukabumi","Jawa Barat",14,7,3,0,1,0,0,0,0,0
"393","Kec. Surade ","Sukabumi","Jawa Barat",33,0,2,0,1,0,0,0,0,0
"394","Kec. Jampang Kulon ","Sukabumi","Jawa Barat",44,23,4,3,2,1,1,3,4,12
"395","Kec. Kalibunder ","Sukabumi","Jawa Barat",17,14,2,2,1,1,0,0,0,0
"396","Kec. Tegalbuleud ","Sukabumi","Jawa Barat",3,0,1,0,1,0,0,0,0,0
"397","Kec. Cidolog ","Sukabumi","Jawa Barat",3,0,0,0,1,0,0,0,0,0
"398","Kec. Sagaranten ","Sukabumi","Jawa Barat",18,0,1,0,1,0,1,1,4,4
"399","Kec. Lengkong ","Sukabumi","Jawa Barat",1,17,2,1,0,1,0,0,0,0
"400","Kec. Pelabuhan Ratu ","Sukabumi","Jawa Barat",50,17,7,4,4,1,2,6,8,24
"401","Kec. Warung Kiara ","Sukabumi","Jawa Barat",65,26,0,3,0,1,0,0,0,0
"402","Kec. Jampang Tengah ","Sukabumi","Jawa Barat",27,4,1,2,0,1,3,0,12,0
"403","Kec. Cikembar ","Sukabumi","Jawa Barat",24,6,3,0,2,0,2,0,8,0
"404","Kec. Nyalindung ","Sukabumi","Jawa Barat",0,16,0,3,0,1,0,2,0,8
"405","Kec. Sukaraja ","Sukabumi","Jawa Barat",0,35,0,3,0,1,0,2,0,8
"406","Kec. Sukabumi ","Sukabumi","Jawa Barat",6,0,1,0,1,0,0,0,0,0
"407","Kec. Kadudampit ","Sukabumi","Jawa Barat",16,10,4,1,1,1,2,0,8,0
"408","Kec. Cisaat ","Sukabumi","Jawa Barat",47,1,17,2,5,0,4,2,16,8
"409","Kec. Cibadak ","Sukabumi","Jawa Barat",105,0,9,0,7,1,8,0,32,0
"410","Kec. Nagrak ","Sukabumi","Jawa Barat",43,4,5,1,1,0,0,0,0,0
"411","Kec. Cicurug ","Sukabumi","Jawa Barat",130,3,13,0,8,0,8,0,32,0
"412","Kec. Cidahu ","Sukabumi","Jawa Barat",32,0,2,0,1,0,1,1,4,4
"413","Kec. Parakansalak ","Sukabumi","Jawa Barat",42,3,6,1,2,1,3,1,12,4
"414","Kec. Parungkuda ","Sukabumi","Jawa Barat",66,0,9,0,4,0,5,1,20,4
"415","Kec. Kalapa Nunggal ","Sukabumi","Jawa Barat",3,12,1,1,1,1,0,2,0,8
"416","Kec. Cikidang ","Sukabumi","Jawa Barat",45,3,1,1,1,1,3,1,12,4
"417","Kec. Cisolok ","Sukabumi","Jawa Barat",25,2,1,2,1,0,3,1,12,4
"418","Kec. ","Sukabumi","Jawa Barat",22,0,3,0,2,0,2,0,8,0
"419","Kec. Gunung Guruh ","Sukabumi","Jawa Barat",42,1,5,2,3,0,4,0,16,0
"420","Kec. Cikakak ","Sukabumi","Jawa Barat",18,1,3,0,1,0,1,1,4,4
"421","Kec. Bantar Gadung ","Sukabumi","Jawa Barat",31,0,0,0,1,0,4,0,16,0
"422","Kec. Cicantayan ","Sukabumi","Jawa Barat",5,0,1,0,1,0,6,0,24,0
"423","Kec. Simpenan ","Sukabumi","Jawa Barat",58,0,3,0,2,0,5,1,20,4
"424","Kec. Curugkembar ","Sukabumi","Jawa Barat",1,2,0,0,1,1,0,0,0,0
"425","Kec. Purabaya ","Sukabumi","Jawa Barat",3,0,0,0,1,0,0,0,0,0
"426","Kec. Cireunghas ","Sukabumi","Jawa Barat",17,10,0,3,1,1,0,0,0,0
"427","Kec. Sukalarang ","Sukabumi","Jawa Barat",8,1,0,3,0,1,1,1,4,4
"428","Kec. Caringin ","Sukabumi","Jawa Barat",16,0,1,0,2,0,2,0,8,0
"429","Kec. Bojong Genteng ","Sukabumi","Jawa Barat",40,5,5,0,4,0,7,3,28,12
"430","Kec. Ciambar ","Sukabumi","Jawa Barat",19,2,0,0,1,0,0,0,0,0
"431","Kec. Cipatujah ","Tasikmalaya","Jawa Barat",25,0,2,0,1,0,0,0,0,0
"432","Kec. Karangnunggal ","Tasikmalaya","Jawa Barat",42,0,3,0,2,0,1,0,4,0
"433","Kec. Cikalong ","Tasikmalaya","Jawa Barat",30,2,2,0,2,1,1,1,4,4
"434","Kec. Pancatengah ","Tasikmalaya","Jawa Barat",22,0,0,0,1,0,0,0,0,0
"435","Kec. Cikatomas ","Tasikmalaya","Jawa Barat",20,20,3,0,2,0,0,2,0,8
"436","Kec. Cibalong ","Tasikmalaya","Jawa Barat",2,5,0,3,1,1,0,2,0,8
"437","Kec. Bantarkalong ","Tasikmalaya","Jawa Barat",28,1,3,0,1,0,2,0,8,0
"438","Kec. Bojonggambir ","Tasikmalaya","Jawa Barat",11,7,0,0,0,0,0,0,0,0
"439","Kec. Sodonghilir ","Tasikmalaya","Jawa Barat",27,0,5,0,2,1,1,1,4,4
"440","Kec. Taraju ","Tasikmalaya","Jawa Barat",32,0,7,0,2,0,2,0,8,0
"441","Kec. Salawu ","Tasikmalaya","Jawa Barat",13,12,6,2,2,2,7,3,28,12
"442","Kec. Tanjungjaya ","Tasikmalaya","Jawa Barat",7,0,0,0,1,0,0,0,0,0
"443","Kec. Sukaraja ","Tasikmalaya","Jawa Barat",3,0,0,0,1,0,0,0,0,0
"444","Kec. Salopa ","Tasikmalaya","Jawa Barat",15,0,5,0,4,0,3,1,12,4
"445","Kec. Cineam ","Tasikmalaya","Jawa Barat",31,0,3,0,2,0,0,0,0,0
"446","Kec. Manonjaya ","Tasikmalaya","Jawa Barat",51,0,3,0,2,0,1,1,4,4
"447","Kec. Singaparna ","Tasikmalaya","Jawa Barat",147,3,16,0,6,1,12,4,48,16
"448","Kec. Cigalontang ","Tasikmalaya","Jawa Barat",26,14,8,1,5,2,1,1,4,4
"449","Kec. Leuwisari ","Tasikmalaya","Jawa Barat",3,0,0,0,1,0,0,0,0,0
"450","Kec. Cisayong ","Tasikmalaya","Jawa Barat",21,0,2,0,2,0,0,0,0,0
"451","Kec. Rajapolah ","Tasikmalaya","Jawa Barat",35,0,6,0,3,0,2,2,8,8
"452","Kec. Jamanis ","Tasikmalaya","Jawa Barat",4,0,2,0,1,0,0,0,0,0
"453","Kec. Ciawi ","Tasikmalaya","Jawa Barat",0,43,0,2,0,1,0,2,0,8
"454","Kec. Pagerageung ","Tasikmalaya","Jawa Barat",15,0,4,0,1,0,2,0,8,0
"455","Kec. Sariwangi ","Tasikmalaya","Jawa Barat",22,3,3,0,3,1,1,1,4,4
"456","Kec. Sukaratu ","Tasikmalaya","Jawa Barat",24,0,9,0,4,0,1,1,4,4
"457","Kec. Sukarame ","Tasikmalaya","Jawa Barat",29,1,4,0,3,0,2,0,8,0
"458","Kec. Bojongasih ","Tasikmalaya","Jawa Barat",8,0,0,0,0,0,0,0,0,0
"459","Kec. Puspahiang ","Tasikmalaya","Jawa Barat",6,0,0,0,1,0,0,0,0,0
"460","Kec. Jatiwaras ","Tasikmalaya","Jawa Barat",24,0,3,0,1,0,2,0,8,0
"461","Kec. Mangunreja ","Tasikmalaya","Jawa Barat",3,0,1,0,1,0,1,1,4,4
"462","Kec. Gunungtanjung ","Tasikmalaya","Jawa Barat",0,3,0,1,0,1,0,0,0,0
"463","Kec. Padakembang ","Tasikmalaya","Jawa Barat",9,6,5,0,2,1,2,0,8,0
"464","Kec. Sukahening ","Tasikmalaya","Jawa Barat",10,0,2,0,2,0,3,1,12,4
"465","Kec. Jatiluhur ","Purwakarta","Jawa Barat",37,0,9,0,3,0,3,1,12,4
"466","Kec. Maniis ","Purwakarta","Jawa Barat",0,16,0,1,0,2,2,0,8,0
"467","Kec. Tegalwaru ","Purwakarta","Jawa Barat",26,0,3,0,1,1,0,0,0,0
"468","Kec. Plered ","Purwakarta","Jawa Barat",41,0,3,0,2,0,2,0,8,0
"469","Kec. Sukatani ","Purwakarta","Jawa Barat",4,23,0,3,0,1,0,2,0,8
"470","Kec. Darangdan ","Purwakarta","Jawa Barat",21,10,1,2,0,1,0,2,0,8
"471","Kec. Wanayasa ","Purwakarta","Jawa Barat",29,2,3,0,2,0,3,1,12,4
"472","Kec. Pasawahan ","Purwakarta","Jawa Barat",17,19,0,3,0,1,3,0,12,0
"473","Kec. Purwakarta ","Purwakarta","Jawa Barat",139,27,17,1,8,1,9,5,36,20
"474","Kec. Campaka ","Purwakarta","Jawa Barat",38,25,1,3,1,1,1,1,4,4
"475","Kec. Sukasari ","Purwakarta","Jawa Barat",20,0,2,0,1,0,0,0,0,0
"476","Kec. Babakancikao ","Purwakarta","Jawa Barat",10,0,2,0,2,0,0,0,0,0
"477","Kec. Cibatu ","Purwakarta","Jawa Barat",19,3,3,0,1,0,2,0,8,0
"478","Kec. Bungursari ","Purwakarta","Jawa Barat",32,0,2,0,1,0,2,0,8,0
"479","Kec. Pangkalan ","Karawang","Jawa Barat",41,0,2,1,1,0,2,0,8,0
"480","Kec. Ciampel ","Karawang","Jawa Barat",58,0,7,0,2,0,4,0,16,0
"481","Kec. Klari ","Karawang","Jawa Barat",6,43,2,4,1,1,0,2,0,8
"482","Kec. Cikampek ","Karawang","Jawa Barat",60,29,13,6,2,3,3,1,12,4
"483","Kec. Tirtamulya ","Karawang","Jawa Barat",4,0,0,0,2,0,0,0,0,0
"484","Kec. Jatisari ","Karawang","Jawa Barat",34,7,3,1,1,1,1,3,4,12
"485","Kec. Lemahabang ","Karawang","Jawa Barat",38,0,4,0,1,0,1,1,4,4
"486","Kec. Telagasari ","Karawang","Jawa Barat",32,12,1,4,1,1,2,0,8,0
"487","Kec. Rawamerta ","Karawang","Jawa Barat",21,0,3,0,1,0,2,0,8,0
"488","Kec. Tempuran ","Karawang","Jawa Barat",26,0,3,0,1,0,2,0,8,0
"489","Kec. Kutawaluya ","Karawang","Jawa Barat",42,0,4,0,1,0,1,1,4,4
"490","Kec. Pedes ","Karawang","Jawa Barat",28,9,3,0,1,0,0,0,0,0
"491","Kec. Cibuaya ","Karawang","Jawa Barat",10,0,3,0,1,0,0,0,0,0
"492","Kec. Tirtajaya ","Karawang","Jawa Barat",12,0,3,0,1,0,0,0,0,0
"493","Kec. Batujaya ","Karawang","Jawa Barat",55,0,6,0,2,0,4,0,16,0
"494","Kec. Pakisjaya ","Karawang","Jawa Barat",6,0,1,0,1,0,0,0,0,0
"495","Kec. Majalaya ","Karawang","Jawa Barat",2,11,1,2,0,1,0,2,0,8
"496","Kec. Jayakerta ","Karawang","Jawa Barat",7,0,1,0,1,0,1,1,4,4
"497","Kec. Banyusari ","Karawang","Jawa Barat",12,0,1,0,1,0,2,0,8,0
"498","Kec. ","Karawang","Jawa Barat",54,0,6,0,2,0,3,1,12,4
"499","Kec. Cilamaya Wetan ","Karawang","Jawa Barat",24,10,3,0,1,0,2,0,8,0
"500","Kec. Teluk Jambe Barat ","Karawang","Jawa Barat",31,0,5,0,3,0,2,0,8,0
"501","Kec. Teluk Jambe Timur ","Karawang","Jawa Barat",87,11,15,0,7,0,5,3,20,12
"502","Kec. Karawang Timur ","Karawang","Jawa Barat",69,15,2,2,4,0,4,2,16,8
"503","Kec. Tegalwaru ","Karawang","Jawa Barat",14,0,1,0,1,0,0,0,0,0
"504","Kec. Karawang Barat ","Karawang","Jawa Barat",162,8,25,0,10,0,17,2,68,8
"505","Kec. Agrabinta ","Cianjur","Jambi",12,6,0,0,1,1,0,0,0,0
"506","Kec. Sindang Barang ","Cianjur","Jambi",41,2,3,0,2,0,2,0,8,0
"507","Kec. Cidaun ","Cianjur","Jambi",61,8,2,0,7,0,3,1,12,4
"508","Kec. Naringgul ","Cianjur","Jambi",41,0,0,0,2,0,2,0,8,0
"509","Kec. Cibinong ","Cianjur","Jambi",49,3,5,0,5,0,5,1,20,4
"510","Kec. Kadupandak ","Cianjur","Jambi",36,0,2,0,4,0,0,0,0,0
"511","Kec. Takokak ","Cianjur","Jambi",24,0,0,0,2,0,1,1,4,4
"512","Kec. Sukanagara ","Cianjur","Jambi",36,0,3,0,1,0,1,1,4,4
"513","Kec. Pagelaran ","Cianjur","Jambi",27,0,3,0,1,0,2,0,8,0
"514","Kec. Cibeber ","Cianjur","Jambi",38,6,3,0,1,0,1,1,4,4
"515","Kec. Cilaku ","Cianjur","Jambi",67,0,5,0,7,0,7,1,28,4
"516","Kec. Sukaluyu ","Cianjur","Jambi",15,0,3,0,3,0,2,0,8,0
"517","Kec. Ciranjang ","Cianjur","Jambi",101,0,8,0,5,0,9,1,36,4
"518","Kec. Mande ","Cianjur","Jambi",23,0,3,0,1,0,1,1,4,4
"519","Kec. Karang Tengah ","Cianjur","Jambi",161,17,7,2,7,0,4,2,16,8
"520","Kec. Cianjur ","Cianjur","Jambi",252,22,22,1,13,1,16,6,64,24
"521","Kec. Cugenang ","Cianjur","Jambi",23,0,8,0,2,0,3,1,12,4
"522","Kec. Pacet ","Cianjur","Jambi",50,0,4,0,4,0,6,2,24,8
"523","Kec. Sukaresmi ","Cianjur","Jambi",51,5,4,0,5,0,4,0,16,0
"524","Kec. Cikalong Kulon ","Cianjur","Jambi",55,50,3,0,2,1,3,1,12,4
"525","Kec. Bojong Picung ","Cianjur","Jambi",15,0,3,0,2,0,0,0,0,0
"526","Kec. Cikadu ","Cianjur","Jambi",17,0,0,0,2,0,0,0,0,0
"527","Kec. Leles ","Cianjur","Jambi",35,0,0,0,2,0,2,0,8,0
"528","Kec. Cijati ","Cianjur","Jambi",15,3,0,0,0,0,0,0,0,0
"529","Kec. Gekbrong ","Cianjur","Jambi",38,3,6,0,1,1,4,0,16,0
"530","Kec. Cipanas ","Cianjur","Jambi",34,0,0,0,3,0,5,1,20,4
"531","Kec. Haurwangi ","Cianjur","Jambi",12,0,0,0,1,0,0,0,0,0
"532","Kec. Pasirkuda ","Cianjur","Jambi",19,0,2,0,2,0,0,0,0,0
"533","Kec. Banjarsari ","Ciamis","Jawa Barat",63,4,7,0,4,0,7,3,28,12
"534","Kec. Lakbok ","Ciamis","Jawa Barat",17,6,3,0,1,0,2,0,8,0
"535","Kec. Pamarican ","Ciamis","Jawa Barat",50,0,6,0,2,0,4,0,16,0
"536","Kec. Cimaragas ","Ciamis","Jawa Barat",16,0,3,0,1,0,0,0,0,0
"537","Kec. Cijeungjing ","Ciamis","Jawa Barat",5,10,0,2,0,2,1,1,4,4
"538","Kec. Cisaga ","Ciamis","Jawa Barat",0,19,3,0,1,0,2,0,8,0
"539","Kec. Rancah ","Ciamis","Jawa Barat",48,4,5,3,1,1,6,0,24,0
"540","Kec. Rajadesa ","Ciamis","Jawa Barat",16,3,9,0,3,1,4,0,16,0
"541","Kec. Sukadana ","Ciamis","Jawa Barat",17,0,3,0,3,0,1,1,4,4
"542","Kec. Ciamis ","Ciamis","Jawa Barat",143,33,12,3,4,1,5,4,20,16
"543","Kec. Cikoneng ","Ciamis","Jawa Barat",0,8,0,1,0,1,0,2,0,8
"544","Kec. Cihaurbeuti ","Ciamis","Jawa Barat",15,13,1,1,0,1,0,2,0,8
"545","Kec. Cipaku ","Ciamis","Jawa Barat",3,0,0,0,0,0,1,1,4,4
"546","Kec. Jatinagara ","Ciamis","Jawa Barat",3,0,0,0,1,0,0,0,0,0
"547","Kec. Panawangan ","Ciamis","Jawa Barat",26,0,6,0,2,0,4,0,16,0
"548","Kec. Kawali ","Ciamis","Jawa Barat",33,0,4,0,1,0,1,1,4,4
"549","Kec. Panjalu ","Ciamis","Jawa Barat",3,0,1,0,0,0,0,0,0,0
"550","Kec. Sindangkasih ","Ciamis","Jawa Barat",29,0,2,0,1,0,2,0,8,0
"551","Kec. Baregbeg ","Ciamis","Jawa Barat",24,6,3,0,1,0,2,0,8,0
"552","Kec. Lumbung ","Ciamis","Jawa Barat",22,0,1,0,2,0,0,0,0,0
"553","Kec. Setu ","Bekasi","Jawa Barat",25,36,0,4,3,1,2,2,8,8
"554","Kec. Cibarusah ","Bekasi","Jawa Barat",122,0,21,0,8,1,11,1,44,4
"555","Kec. Kedung Waringin ","Bekasi","Jawa Barat",30,0,4,0,2,0,4,0,16,0
"556","Kec. Cibitung ","Bekasi","Jawa Barat",58,5,6,0,4,1,2,0,8,0
"557","Kec. Babelan ","Bekasi","Jawa Barat",146,0,9,0,10,1,4,0,16,0
