"","Kecamatan","Kab.Kota","Provinsi","Kelas.Baik","Kelas.Rusak","Lab.Baik","Lab.Rusak","Perpus.Baik","Perpus.Rusak","UKS.Baik","UKS.Rusak","Toilet.Baik","Toilet.Rusak"
"248","Kec. Banjar ","Banjar","Jawa Barat",74,3,7,0,3,0,4,2,16,8
"249","Kec. Langensari ","Banjar","Jawa Barat",39,4,4,1,2,0,3,1,12,4
"250","Kec. Nanggung ","Bogor","Jawa Barat",17,0,3,0,1,0,1,1,4,4
"251","Kec. Leuwiliang ","Bogor","Jawa Barat",47,39,2,4,6,3,6,4,24,16
"252","Kec. Pamijahan ","Bogor","Jawa Barat",52,32,10,1,7,1,3,1,12,4
"253","Kec. Cibungbulang ","Bogor","Jawa Barat",62,7,3,2,5,0,2,2,8,8
"254","Kec. Ciampea ","Bogor","Jawa Barat",32,8,1,2,2,2,3,3,12,12
"255","Kec. Dramaga ","Bogor","Jawa Barat",55,3,6,0,2,0,3,1,12,4
"256","Kec. Ciomas ","Bogor","Jawa Barat",21,16,2,1,2,0,1,1,4,4
"257","Kec. Cijeruk ","Bogor","Jawa Barat",20,1,5,0,1,0,0,0,0,0
"258","Kec. Caringin ","Bogor","Jawa Barat",48,0,5,0,4,0,2,0,8,0
"259","Kec. Ciawi ","Bogor","Jawa Barat",67,5,12,0,5,0,5,2,20,8
"260","Kec. Cisarua ","Bogor","Jawa Barat",44,0,4,0,2,0,4,0,16,0
"261","Kec. Megamendung ","Bogor","Jawa Barat",31,7,6,0,2,0,2,2,8,8
"262","Kec. Sukaraja ","Bogor","Jawa Barat",12,26,3,1,2,1,4,0,16,0
"263","Kec. Babakan Madang ","Bogor","Jawa Barat",23,47,12,11,4,5,8,6,32,24
"264","Kec. Sukamakmur ","Bogor","Jawa Barat",23,13,5,1,2,1,3,3,12,12
"265","Kec. Cariu ","Bogor","Jawa Barat",25,0,2,0,1,0,1,1,4,4
"266","Kec. Jonggol ","Bogor","Jawa Barat",143,10,14,0,10,0,10,0,40,0
"267","Kec. Cileungsi ","Bogor","Jawa Barat",91,31,14,7,6,3,8,4,32,16
"268","Kec. Gunungputri ","Bogor","Jawa Barat",212,1,42,1,20,0,34,2,136,8
"269","Kec. Citeureup ","Bogor","Jawa Barat",70,7,8,0,9,0,1,1,4,4
"270","Kec. Cibinong ","Bogor","Jawa Barat",266,11,32,6,18,3,25,3,100,12
"271","Kec. Bojong Gede ","Bogor","Jawa Barat",16,9,3,0,2,0,0,0,0,0
"272","Kec. Kemang ","Bogor","Jawa Barat",75,14,15,4,5,1,9,3,36,12
"273","Kec. Parung ","Bogor","Jawa Barat",87,12,10,2,4,1,6,2,24,8
