"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","Perpus.RusakPerc","Toilet.Guru.L.RusakPerc","Toilet.Guru.P.RusakPerc","Toilet.Murid.L.RusakPerc","Toilet.Murid.P.RusakPerc"
"265","Kec. Cariu ","Bogor","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"266","Kec. Jonggol ","Bogor","Jawa Barat",0.07,0,0,0,0,0,0
"267","Kec. Cileungsi ","Bogor","Jawa Barat",0.25,0.33,0.33,0.33,0.33,0.33,0.33
"268","Kec. Gunungputri ","Bogor","Jawa Barat",0,0.02,0,0.06,0.06,0.06,0.06
"269","Kec. Citeureup ","Bogor","Jawa Barat",0.09,0,0,0.5,0.5,0.5,0.5
"270","Kec. Cibinong ","Bogor","Jawa Barat",0.04,0.16,0.14,0.11,0.11,0.11,0.11
"271","Kec. Bojong Gede ","Bogor","Jawa Barat",0.36,0,0,NA,NA,NA,NA
"272","Kec. Kemang ","Bogor","Jawa Barat",0.16,0.21,0.17,0.25,0.25,0.25,0.25
"273","Kec. Parung ","Bogor","Jawa Barat",0.12,0.17,0.2,0.25,0.25,0.25,0.25
"274","Kec. Gunung Sindur ","Bogor","Jawa Barat",0.08,0,0.11,0,0,0,0
"275","Kec. Rumpin ","Bogor","Jawa Barat",0.3,0.14,0.25,0.5,0.5,0.5,0.5
"276","Kec. Cigudeg ","Bogor","Jawa Barat",0,0,0,0,0,0,0
"277","Kec. Jasinga ","Bogor","Jawa Barat",0,0,0,0,0,0,0
"278","Kec. Tenjo ","Bogor","Jawa Barat",0.34,1,0.33,0.5,0.5,0.5,0.5
"279","Kec. Parungpanjang ","Bogor","Jawa Barat",0.07,0,0,0.25,0.25,0.25,0.25
"280","Kec. Tamansari ","Bogor","Jawa Barat",0.04,0,0,0.33,0.33,0.33,0.33
"281","Kec. Ciseeng ","Bogor","Jawa Barat",0.12,0,0.25,0.25,0.25,0.25,0.25
"282","Kec. Klapanunggal ","Bogor","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"283","Kec. Sukajaya ","Bogor","Jawa Barat",0,0,0,0,0,0,0
"284","Kec. Ranca Bungur ","Bogor","Jawa Barat",0.2,0,0.5,0,0,0,0
"285","Kec. Tanjung Sari ","Bogor","Jawa Barat",0.31,1,0.5,NA,NA,NA,NA
"286","Kec. Tajurhalang ","Bogor","Jawa Barat",0.04,0.29,0,0.5,0.5,0.5,0.5
"287","Kec. Cigombong ","Bogor","Jawa Barat",0,0,0,0,0,0,0
"288","Kec. Leuwisadeng ","Bogor","Jawa Barat",0,0,0,0,0,0,0
"289","Kec. Tenjolaya ","Bogor","Jawa Barat",0.52,0.7,0.5,0.5,0.5,0.5,0.5
"290","Kec. Ciwidey ","Bandung","Jawa Barat",0.06,0,0,0.25,0.25,0.25,0.25
"291","Kec. Pasirjambu ","Bandung","Jawa Barat",1,NA,1,1,1,1,1
"292","Kec. Cimaung ","Bandung","Jawa Barat",0,0,0,0,0,0,0
"293","Kec. Pangalengan ","Bandung","Jawa Barat",0,0,0.5,0,0,0,0
"294","Kec. Kertasari ","Bandung","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"295","Kec. Pacet ","Bandung","Jawa Barat",0,0,0,NA,NA,NA,NA
"296","Kec. Ibun ","Bandung","Jawa Barat",0.3,0.67,0.33,0.5,0.5,0.5,0.5
"297","Kec. Paseh ","Bandung","Jawa Barat",0.08,NA,0.33,0.5,0.5,0.5,0.5
"298","Kec. Cikancung ","Bandung","Jawa Barat",0.08,0,0,NA,NA,NA,NA
"299","Kec. Cicalengka ","Bandung","Jawa Barat",0.26,0.4,0.2,0.17,0.17,0.17,0.17
"300","Kec. Rancaekek ","Bandung","Jawa Barat",0.51,0.6,0.33,0.17,0.17,0.17,0.17
"301","Kec. Majalaya ","Bandung","Jawa Barat",0.01,0,0,0.25,0.25,0.25,0.25
"302","Kec. Ciparay ","Bandung","Jawa Barat",0,0,0,0,0,0,0
"303","Kec. Baleendah ","Bandung","Jawa Barat",0.03,0,0,0.5,0.5,0.5,0.5
"304","Kec. Arjasari ","Bandung","Jawa Barat",0,0,0,0,0,0,0
"305","Kec. Banjaran ","Bandung","Jawa Barat",0.04,0.6,0,0.21,0.21,0.21,0.21
"306","Kec. Pameungpeuk ","Bandung","Jawa Barat",0,0,0,NA,NA,NA,NA
"307","Kec. Katapang ","Bandung","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"308","Kec. Soreang ","Bandung","Jawa Barat",0,0,0,0,0,0,0
"309","Kec. Margaasih ","Bandung","Jawa Barat",0,0,0,0.17,0.17,0.17,0.17
"310","Kec. Margahayu ","Bandung","Jawa Barat",0.2,0.05,0.11,0.31,0.31,0.31,0.31
"311","Kec. Dayeuhkolot ","Bandung","Jawa Barat",0.06,0.22,0,0,0,0,0
"312","Kec. Bojongsoang ","Bandung","Jawa Barat",0.22,0.25,0.5,0,0,0,0
"313","Kec. Cileunyi ","Bandung","Jawa Barat",0.26,0.4,0.33,0.33,0.33,0.33,0.33
"314","Kec. Cilengkrang ","Bandung","Jawa Barat",0,0,0,NA,NA,NA,NA
"315","Kec. Cimenyan ","Bandung","Jawa Barat",0,0,0,0,0,0,0
"316","Kec. Rancabali ","Bandung","Jawa Barat",0,NA,0,0,0,0,0
"317","Kec. Nagreg ","Bandung","Jawa Barat",0.09,0,0,0,0,0,0
"318","Kec. Solokanjeruk ","Bandung","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"319","Kec. Cangkuang ","Bandung","Jawa Barat",0,NA,0,0.17,0.17,0.17,0.17
"320","Kec. Kutawaringin ","Bandung","Jawa Barat",1,NA,1,1,1,1,1
"321","Kec. Darma ","Kuningan","Jawa Barat",0,NA,0,0.5,0.5,0.5,0.5
"322","Kec. Kadugede ","Kuningan","Jawa Barat",0,0,0,0,0,0,0
"323","Kec. Ciniru ","Kuningan","Jawa Barat",0,0,0,NA,NA,NA,NA
"324","Kec. Subang ","Kuningan","Jawa Barat",0.09,0,0,1,1,1,1
"325","Kec. Ciwaru ","Kuningan","Jawa Barat",0,0,1,0.5,0.5,0.5,0.5
"326","Kec. Cibingbin ","Kuningan","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"327","Kec. Luragung ","Kuningan","Jawa Barat",0,0.75,1,0,0,0,0
"328","Kec. Cidahu ","Kuningan","Jawa Barat",0,0,0,0,0,0,0
"329","Kec. Ciawigebang ","Kuningan","Jawa Barat",0,0,0,NA,NA,NA,NA
"330","Kec. Lebakwangi ","Kuningan","Jawa Barat",0.13,0,0,0,0,0,0
"331","Kec. Garawangi ","Kuningan","Jawa Barat",0,0,0,0.25,0.25,0.25,0.25
"332","Kec. Kuningan ","Kuningan","Jawa Barat",0.02,0.33,0,0,0,0,0
"333","Kec. Cigugur ","Kuningan","Jawa Barat",0.03,0,0,0,0,0,0
"334","Kec. Jalaksana ","Kuningan","Jawa Barat",0.22,0,0,0,0,0,0
"335","Kec. Cilimus ","Kuningan","Jawa Barat",0,0,0,0,0,0,0
"336","Kec. Mandirancan ","Kuningan","Jawa Barat",0,0,0,0,0,0,0
"337","Kec. Pasawahan ","Kuningan","Jawa Barat",0,0,0,0,0,0,0
"338","Kec. Pancalang ","Kuningan","Jawa Barat",0,0,0,0,0,0,0
"339","Kec. Cigandamekar ","Kuningan","Jawa Barat",0,0,0,0.17,0.17,0.17,0.17
"340","Kec. Rongga ","Bandung Barat","Jawa Barat",0.16,0,1,NA,NA,NA,NA
"341","Kec. Gununghalu ","Bandung Barat","Jawa Barat",0,0,0,NA,NA,NA,NA
"342","Kec. Sindangkerta ","Bandung Barat","Jawa Barat",0,0,0,0.3,0.3,0.3,0.3
"343","Kec. Cililin ","Bandung Barat","Jawa Barat",0,0,0,0.25,0.25,0.25,0.25
"344","Kec. Cihampelas ","Bandung Barat","Jawa Barat",0,0,0,0,0,0,0
"345","Kec. Cipongkor ","Bandung Barat","Jawa Barat",0.14,0.2,0.25,NA,NA,NA,NA
"346","Kec. Batujajar ","Bandung Barat","Jawa Barat",0,0,0.33,0,0,0,0
"347","Kec. Cipatat ","Bandung Barat","Jawa Barat",0.48,0.6,0.5,1,1,1,1
"348","Kec. Padalarang ","Bandung Barat","Jawa Barat",0,0,0,0,0,0,0
"349","Kec. Ngamprah ","Bandung Barat","Jawa Barat",0.09,0.07,0.17,0.25,0.25,0.25,0.25
"350","Kec. Parongpong ","Bandung Barat","Jawa Barat",0,0.1,0,0.12,0.12,0.12,0.12
"351","Kec. Lembang ","Bandung Barat","Jawa Barat",0.38,0.2,0.25,0.36,0.36,0.36,0.36
"352","Kec. Cisarua ","Bandung Barat","Jawa Barat",0.23,0.14,0,0.25,0.25,0.25,0.25
"353","Kec. Cikalongwetan ","Bandung Barat","Jawa Barat",0,0,0,0.25,0.25,0.25,0.25
"354","Kec. Cipeundeuy ","Bandung Barat","Jawa Barat",0.1,0.17,0,0.12,0.12,0.12,0.12
"355","Kec. Saguling ","Bandung Barat","Jawa Barat",0,0,0,0,0,0,0
"356","KEC. CIMERAK ","Pangandaran","Jawa Barat",0,0,0,NA,NA,NA,NA
"357","KEC. CIGUGUR ","Pangandaran","Jawa Barat",0,NA,NA,NA,NA,NA,NA
"358","KEC. LANGKAPLANCAR ","Pangandaran","Jawa Barat",0,0,0,NA,NA,NA,NA
"359","KEC. MANGUNJAYA ","Pangandaran","Jawa Barat",0,0,0,NA,NA,NA,NA
"360","KEC. PADAHERANG ","Pangandaran","Jawa Barat",0.75,0,0,1,1,1,1
"361","KEC. PANGANDARAN ","Pangandaran","Jawa Barat",0.26,0.57,0.5,0.5,0.5,0.5,0.5
"362","KEC. PARIGI ","Pangandaran","Jawa Barat",0,0,0,0,0,0,0
"363","Kec. Bandung Kulon ","Bandung","Jawa Barat",0,0.43,0,0.67,0.67,0.67,0.67
"364","Kec. Babakan Ciparay ","Bandung","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"365","Kec. Bojong Loa Kaler ","Bandung","Jawa Barat",0,0,0,0,0,0,0
"366","Kec. Bojong Loa Kidul ","Bandung","Jawa Barat",0.15,0,0.4,0.25,0.25,0.25,0.25
"367","Kec. Astanaanyar ","Bandung","Jawa Barat",0,0,0,0,0,0,0
"368","Kec. Regol ","Bandung","Jawa Barat",0,0,0,0.1,0.1,0.1,0.1
"369","Kec. Lengkong ","Bandung","Jawa Barat",0.46,0.13,0.15,0.36,0.36,0.36,0.36
"370","Kec. Bandung Kidul ","Bandung","Jawa Barat",0,0,0,0,0,0,0
"371","Kec. Buahbatu ","Bandung","Jawa Barat",0.41,0.14,0,0.33,0.33,0.33,0.33
"372","Kec. Rancasari ","Bandung","Jawa Barat",0,0,0,0,0,0,0
"373","Kec. Cibiru ","Bandung","Jawa Barat",0.43,0.4,0.33,0.5,0.5,0.5,0.5
"374","Kec. Ujungberung ","Bandung","Jawa Barat",0.07,0.17,0,0.33,0.33,0.33,0.33
"375","Kec. Arcamanik ","Bandung","Jawa Barat",0,0,0,0,0,0,0
"376","Kec. Kiaracondong ","Bandung","Jawa Barat",0.26,0.19,0.25,0.21,0.21,0.21,0.21
"377","Kec. Sumur Bandung ","Bandung","Jawa Barat",0,0,0,0.1,0.1,0.1,0.1
"378","Kec. Andir ","Bandung","Jawa Barat",0.17,0.17,0.2,0.25,0.25,0.25,0.25
"379","Kec. Cicendo ","Bandung","Jawa Barat",0.3,0.25,0.2,0.4,0.4,0.4,0.4
"380","Kec. Bandung Wetan ","Bandung","Jawa Barat",0,0,0,0,0,0,0
"381","Kec. Cibeunying Kidul ","Bandung","Jawa Barat",0,0,0,0.25,0.25,0.25,0.25
"382","Kec. Cibeunying Kaler ","Bandung","Jawa Barat",0,0,0,0.12,0.12,0.12,0.12
"383","Kec. Coblong ","Bandung","Jawa Barat",0.14,0.1,0.07,0.17,0.17,0.17,0.17
"384","Kec. Sukajadi ","Bandung","Jawa Barat",0.52,0.14,0.33,0.25,0.25,0.25,0.25
"385","Kec. Sukasari ","Bandung","Jawa Barat",0.53,0.62,0.5,0,0,0,0
"386","Kec. Cidadap ","Bandung","Jawa Barat",0.24,0.14,0.25,0.25,0.25,0.25,0.25
"387","Kec. Gedebage ","Bandung","Jawa Barat",0.97,1,1,0.5,0.5,0.5,0.5
"388","Kec. Panyileukan ","Bandung","Jawa Barat",0.33,0.25,0.5,0.75,0.75,0.75,0.75
"389","Kec. Mandalajati ","Bandung","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"390","Kec. Antapani ","Bandung","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"391","Kec. Ciemas ","Sukabumi","Jawa Barat",0.91,1,1,NA,NA,NA,NA
"392","Kec. Ciracap ","Sukabumi","Jawa Barat",0.33,0,0,NA,NA,NA,NA
"393","Kec. Surade ","Sukabumi","Jawa Barat",0,0,0,NA,NA,NA,NA
"394","Kec. Jampang Kulon ","Sukabumi","Jawa Barat",0.34,0.43,0.33,0.75,0.75,0.75,0.75
"395","Kec. Kalibunder ","Sukabumi","Jawa Barat",0.45,0.5,0.5,NA,NA,NA,NA
"396","Kec. Tegalbuleud ","Sukabumi","Jawa Barat",0,0,0,NA,NA,NA,NA
"397","Kec. Cidolog ","Sukabumi","Jawa Barat",0,NA,0,NA,NA,NA,NA
"398","Kec. Sagaranten ","Sukabumi","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"399","Kec. Lengkong ","Sukabumi","Jawa Barat",0.94,0.33,1,NA,NA,NA,NA
"400","Kec. Pelabuhan Ratu ","Sukabumi","Jawa Barat",0.25,0.36,0.2,0.75,0.75,0.75,0.75
"401","Kec. Warung Kiara ","Sukabumi","Jawa Barat",0.29,1,1,NA,NA,NA,NA
"402","Kec. Jampang Tengah ","Sukabumi","Jawa Barat",0.13,0.67,1,0,0,0,0
"403","Kec. Cikembar ","Sukabumi","Jawa Barat",0.2,0,0,0,0,0,0
"404","Kec. Nyalindung ","Sukabumi","Jawa Barat",1,1,1,1,1,1,1
"405","Kec. Sukaraja ","Sukabumi","Jawa Barat",1,1,1,1,1,1,1
"406","Kec. Sukabumi ","Sukabumi","Jawa Barat",0,0,0,NA,NA,NA,NA
"407","Kec. Kadudampit ","Sukabumi","Jawa Barat",0.38,0.2,0.5,0,0,0,0
"408","Kec. Cisaat ","Sukabumi","Jawa Barat",0.02,0.11,0,0.33,0.33,0.33,0.33
"409","Kec. Cibadak ","Sukabumi","Jawa Barat",0,0,0.12,0,0,0,0
"410","Kec. Nagrak ","Sukabumi","Jawa Barat",0.09,0.17,0,NA,NA,NA,NA
"411","Kec. Cicurug ","Sukabumi","Jawa Barat",0.02,0,0,0,0,0,0
"412","Kec. Cidahu ","Sukabumi","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"413","Kec. Parakansalak ","Sukabumi","Jawa Barat",0.07,0.14,0.33,0.25,0.25,0.25,0.25
"414","Kec. Parungkuda ","Sukabumi","Jawa Barat",0,0,0,0.17,0.17,0.17,0.17
"415","Kec. Kalapa Nunggal ","Sukabumi","Jawa Barat",0.8,0.5,0.5,1,1,1,1
"416","Kec. Cikidang ","Sukabumi","Jawa Barat",0.06,0.5,0.5,0.25,0.25,0.25,0.25
"417","Kec. Cisolok ","Sukabumi","Jawa Barat",0.07,0.67,0,0.25,0.25,0.25,0.25
"418","Kec. ","Sukabumi","Jawa Barat",0,0,0,0,0,0,0
"419","Kec. Gunung Guruh ","Sukabumi","Jawa Barat",0.02,0.29,0,0,0,0,0
"420","Kec. Cikakak ","Sukabumi","Jawa Barat",0.05,0,0,0.5,0.5,0.5,0.5
"421","Kec. Bantar Gadung ","Sukabumi","Jawa Barat",0,NA,0,0,0,0,0
"422","Kec. Cicantayan ","Sukabumi","Jawa Barat",0,0,0,0,0,0,0
"423","Kec. Simpenan ","Sukabumi","Jawa Barat",0,0,0,0.17,0.17,0.17,0.17
"424","Kec. Curugkembar ","Sukabumi","Jawa Barat",0.67,NA,0.5,NA,NA,NA,NA
"425","Kec. Purabaya ","Sukabumi","Jawa Barat",0,NA,0,NA,NA,NA,NA
"426","Kec. Cireunghas ","Sukabumi","Jawa Barat",0.37,1,0.5,NA,NA,NA,NA
"427","Kec. Sukalarang ","Sukabumi","Jawa Barat",0.11,1,1,0.5,0.5,0.5,0.5
"428","Kec. Caringin ","Sukabumi","Jawa Barat",0,0,0,0,0,0,0
"429","Kec. Bojong Genteng ","Sukabumi","Jawa Barat",0.11,0,0,0.3,0.3,0.3,0.3
"430","Kec. Ciambar ","Sukabumi","Jawa Barat",0.1,NA,0,NA,NA,NA,NA
"431","Kec. Cipatujah ","Tasikmalaya","Jawa Barat",0,0,0,NA,NA,NA,NA
"432","Kec. Karangnunggal ","Tasikmalaya","Jawa Barat",0,0,0,0,0,0,0
"433","Kec. Cikalong ","Tasikmalaya","Jawa Barat",0.06,0,0.33,0.5,0.5,0.5,0.5
"434","Kec. Pancatengah ","Tasikmalaya","Jawa Barat",0,NA,0,NA,NA,NA,NA
"435","Kec. Cikatomas ","Tasikmalaya","Jawa Barat",0.5,0,0,1,1,1,1
"436","Kec. Cibalong ","Tasikmalaya","Jawa Barat",0.71,1,0.5,1,1,1,1
"437","Kec. Bantarkalong ","Tasikmalaya","Jawa Barat",0.03,0,0,0,0,0,0
"438","Kec. Bojonggambir ","Tasikmalaya","Jawa Barat",0.39,NA,NA,NA,NA,NA,NA
"439","Kec. Sodonghilir ","Tasikmalaya","Jawa Barat",0,0,0.33,0.5,0.5,0.5,0.5
"440","Kec. Taraju ","Tasikmalaya","Jawa Barat",0,0,0,0,0,0,0
"441","Kec. Salawu ","Tasikmalaya","Jawa Barat",0.48,0.25,0.5,0.3,0.3,0.3,0.3
"442","Kec. Tanjungjaya ","Tasikmalaya","Jawa Barat",0,NA,0,NA,NA,NA,NA
"443","Kec. Sukaraja ","Tasikmalaya","Jawa Barat",0,NA,0,NA,NA,NA,NA
"444","Kec. Salopa ","Tasikmalaya","Jawa Barat",0,0,0,0.25,0.25,0.25,0.25
"445","Kec. Cineam ","Tasikmalaya","Jawa Barat",0,0,0,NA,NA,NA,NA
"446","Kec. Manonjaya ","Tasikmalaya","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"447","Kec. Singaparna ","Tasikmalaya","Jawa Barat",0.02,0,0.14,0.25,0.25,0.25,0.25
"448","Kec. Cigalontang ","Tasikmalaya","Jawa Barat",0.35,0.11,0.29,0.5,0.5,0.5,0.5
"449","Kec. Leuwisari ","Tasikmalaya","Jawa Barat",0,NA,0,NA,NA,NA,NA
"450","Kec. Cisayong ","Tasikmalaya","Jawa Barat",0,0,0,NA,NA,NA,NA
"451","Kec. Rajapolah ","Tasikmalaya","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"452","Kec. Jamanis ","Tasikmalaya","Jawa Barat",0,0,0,NA,NA,NA,NA
"453","Kec. Ciawi ","Tasikmalaya","Jawa Barat",1,1,1,1,1,1,1
"454","Kec. Pagerageung ","Tasikmalaya","Jawa Barat",0,0,0,0,0,0,0
"455","Kec. Sariwangi ","Tasikmalaya","Jawa Barat",0.12,0,0.25,0.5,0.5,0.5,0.5
"456","Kec. Sukaratu ","Tasikmalaya","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"457","Kec. Sukarame ","Tasikmalaya","Jawa Barat",0.03,0,0,0,0,0,0
"458","Kec. Bojongasih ","Tasikmalaya","Jawa Barat",0,NA,NA,NA,NA,NA,NA
"459","Kec. Puspahiang ","Tasikmalaya","Jawa Barat",0,NA,0,NA,NA,NA,NA
"460","Kec. Jatiwaras ","Tasikmalaya","Jawa Barat",0,0,0,0,0,0,0
"461","Kec. Mangunreja ","Tasikmalaya","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"462","Kec. Gunungtanjung ","Tasikmalaya","Jawa Barat",1,1,1,NA,NA,NA,NA
"463","Kec. Padakembang ","Tasikmalaya","Jawa Barat",0.4,0,0.33,0,0,0,0
"464","Kec. Sukahening ","Tasikmalaya","Jawa Barat",0,0,0,0.25,0.25,0.25,0.25
"465","Kec. Jatiluhur ","Purwakarta","Jawa Barat",0,0,0,0.25,0.25,0.25,0.25
"466","Kec. Maniis ","Purwakarta","Jawa Barat",1,1,1,0,0,0,0
"467","Kec. Tegalwaru ","Purwakarta","Jawa Barat",0,0,0.5,NA,NA,NA,NA
"468","Kec. Plered ","Purwakarta","Jawa Barat",0,0,0,0,0,0,0
"469","Kec. Sukatani ","Purwakarta","Jawa Barat",0.85,1,1,1,1,1,1
"470","Kec. Darangdan ","Purwakarta","Jawa Barat",0.32,0.67,1,1,1,1,1
"471","Kec. Wanayasa ","Purwakarta","Jawa Barat",0.06,0,0,0.25,0.25,0.25,0.25
"472","Kec. Pasawahan ","Purwakarta","Jawa Barat",0.53,1,1,0,0,0,0
"473","Kec. Purwakarta ","Purwakarta","Jawa Barat",0.16,0.06,0.11,0.36,0.36,0.36,0.36
"474","Kec. Campaka ","Purwakarta","Jawa Barat",0.4,0.75,0.5,0.5,0.5,0.5,0.5
"475","Kec. Sukasari ","Purwakarta","Jawa Barat",0,0,0,NA,NA,NA,NA
"476","Kec. Babakancikao ","Purwakarta","Jawa Barat",0,0,0,NA,NA,NA,NA
"477","Kec. Cibatu ","Purwakarta","Jawa Barat",0.14,0,0,0,0,0,0
"478","Kec. Bungursari ","Purwakarta","Jawa Barat",0,0,0,0,0,0,0
"479","Kec. Pangkalan ","Karawang","Jawa Barat",0,0.33,0,0,0,0,0
"480","Kec. Ciampel ","Karawang","Jawa Barat",0,0,0,0,0,0,0
"481","Kec. Klari ","Karawang","Jawa Barat",0.88,0.67,0.5,1,1,1,1
"482","Kec. Cikampek ","Karawang","Jawa Barat",0.33,0.32,0.6,0.25,0.25,0.25,0.25
"483","Kec. Tirtamulya ","Karawang","Jawa Barat",0,NA,0,NA,NA,NA,NA
"484","Kec. Jatisari ","Karawang","Jawa Barat",0.17,0.25,0.5,0.75,0.75,0.75,0.75
"485","Kec. Lemahabang ","Karawang","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"486","Kec. Telagasari ","Karawang","Jawa Barat",0.27,0.8,0.5,0,0,0,0
"487","Kec. Rawamerta ","Karawang","Jawa Barat",0,0,0,0,0,0,0
"488","Kec. Tempuran ","Karawang","Jawa Barat",0,0,0,0,0,0,0
"489","Kec. Kutawaluya ","Karawang","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"490","Kec. Pedes ","Karawang","Jawa Barat",0.24,0,0,NA,NA,NA,NA
"491","Kec. Cibuaya ","Karawang","Jawa Barat",0,0,0,NA,NA,NA,NA
"492","Kec. Tirtajaya ","Karawang","Jawa Barat",0,0,0,NA,NA,NA,NA
"493","Kec. Batujaya ","Karawang","Jawa Barat",0,0,0,0,0,0,0
"494","Kec. Pakisjaya ","Karawang","Jawa Barat",0,0,0,NA,NA,NA,NA
"495","Kec. Majalaya ","Karawang","Jawa Barat",0.85,0.67,1,1,1,1,1
"496","Kec. Jayakerta ","Karawang","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"497","Kec. Banyusari ","Karawang","Jawa Barat",0,0,0,0,0,0,0
"498","Kec. ","Karawang","Jawa Barat",0,0,0,0.25,0.25,0.25,0.25
"499","Kec. Cilamaya Wetan ","Karawang","Jawa Barat",0.29,0,0,0,0,0,0
"500","Kec. Teluk Jambe Barat ","Karawang","Jawa Barat",0,0,0,0,0,0,0
"501","Kec. Teluk Jambe Timur ","Karawang","Jawa Barat",0.11,0,0,0.38,0.38,0.38,0.38
"502","Kec. Karawang Timur ","Karawang","Jawa Barat",0.18,0.5,0,0.33,0.33,0.33,0.33
"503","Kec. Tegalwaru ","Karawang","Jawa Barat",0,0,0,NA,NA,NA,NA
"504","Kec. Karawang Barat ","Karawang","Jawa Barat",0.05,0,0,0.11,0.11,0.11,0.11
"505","Kec. Agrabinta ","Cianjur","Jambi",0.33,NA,0.5,NA,NA,NA,NA
"506","Kec. Sindang Barang ","Cianjur","Jambi",0.05,0,0,0,0,0,0
"507","Kec. Cidaun ","Cianjur","Jambi",0.12,0,0,0.25,0.25,0.25,0.25
"508","Kec. Naringgul ","Cianjur","Jambi",0,NA,0,0,0,0,0
"509","Kec. Cibinong ","Cianjur","Jambi",0.06,0,0,0.17,0.17,0.17,0.17
"510","Kec. Kadupandak ","Cianjur","Jambi",0,0,0,NA,NA,NA,NA
"511","Kec. Takokak ","Cianjur","Jambi",0,NA,0,0.5,0.5,0.5,0.5
"512","Kec. Sukanagara ","Cianjur","Jambi",0,0,0,0.5,0.5,0.5,0.5
"513","Kec. Pagelaran ","Cianjur","Jambi",0,0,0,0,0,0,0
"514","Kec. Cibeber ","Cianjur","Jambi",0.14,0,0,0.5,0.5,0.5,0.5
"515","Kec. Cilaku ","Cianjur","Jambi",0,0,0,0.12,0.12,0.12,0.12
"516","Kec. Sukaluyu ","Cianjur","Jambi",0,0,0,0,0,0,0
"517","Kec. Ciranjang ","Cianjur","Jambi",0,0,0,0.1,0.1,0.1,0.1
"518","Kec. Mande ","Cianjur","Jambi",0,0,0,0.5,0.5,0.5,0.5
"519","Kec. Karang Tengah ","Cianjur","Jambi",0.1,0.22,0,0.33,0.33,0.33,0.33
"520","Kec. Cianjur ","Cianjur","Jambi",0.08,0.04,0.07,0.27,0.27,0.27,0.27
"521","Kec. Cugenang ","Cianjur","Jambi",0,0,0,0.25,0.25,0.25,0.25
"522","Kec. Pacet ","Cianjur","Jambi",0,0,0,0.25,0.25,0.25,0.25
"523","Kec. Sukaresmi ","Cianjur","Jambi",0.09,0,0,0,0,0,0
"524","Kec. Cikalong Kulon ","Cianjur","Jambi",0.48,0,0.33,0.25,0.25,0.25,0.25
"525","Kec. Bojong Picung ","Cianjur","Jambi",0,0,0,NA,NA,NA,NA
"526","Kec. Cikadu ","Cianjur","Jambi",0,NA,0,NA,NA,NA,NA
"527","Kec. Leles ","Cianjur","Jambi",0,NA,0,0,0,0,0
"528","Kec. Cijati ","Cianjur","Jambi",0.17,NA,NA,NA,NA,NA,NA
"529","Kec. Gekbrong ","Cianjur","Jambi",0.07,0,0.5,0,0,0,0
"530","Kec. Cipanas ","Cianjur","Jambi",0,NA,0,0.17,0.17,0.17,0.17
"531","Kec. Haurwangi ","Cianjur","Jambi",0,NA,0,NA,NA,NA,NA
"532","Kec. Pasirkuda ","Cianjur","Jambi",0,0,0,NA,NA,NA,NA
"533","Kec. Banjarsari ","Ciamis","Jawa Barat",0.06,0,0,0.3,0.3,0.3,0.3
"534","Kec. Lakbok ","Ciamis","Jawa Barat",0.26,0,0,0,0,0,0
"535","Kec. Pamarican ","Ciamis","Jawa Barat",0,0,0,0,0,0,0
"536","Kec. Cimaragas ","Ciamis","Jawa Barat",0,0,0,NA,NA,NA,NA
"537","Kec. Cijeungjing ","Ciamis","Jawa Barat",0.67,1,1,0.5,0.5,0.5,0.5
"538","Kec. Cisaga ","Ciamis","Jawa Barat",1,0,0,0,0,0,0
"539","Kec. Rancah ","Ciamis","Jawa Barat",0.08,0.38,0.5,0,0,0,0
"540","Kec. Rajadesa ","Ciamis","Jawa Barat",0.16,0,0.25,0,0,0,0
"541","Kec. Sukadana ","Ciamis","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"542","Kec. Ciamis ","Ciamis","Jawa Barat",0.19,0.2,0.2,0.44,0.44,0.44,0.44
"543","Kec. Cikoneng ","Ciamis","Jawa Barat",1,1,1,1,1,1,1
"544","Kec. Cihaurbeuti ","Ciamis","Jawa Barat",0.46,0.5,1,1,1,1,1
"545","Kec. Cipaku ","Ciamis","Jawa Barat",0,NA,NA,0.5,0.5,0.5,0.5
"546","Kec. Jatinagara ","Ciamis","Jawa Barat",0,NA,0,NA,NA,NA,NA
